,,
,Description,Location
Abeilles citoyennes (in French only),Université Laval,Quebec
,"Abeilles citoyennes is a participatory science project aimed at inventorizing the biodiversity of wild pollinating insects (bees and hoverflies) throughout Québec. Led by a research team from Université Laval, the project is using public assistance to collect data on the distribution and abundance of pollinator species in Quebec's main agricultural regions.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
Agroclimate Impact Reporter,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Agriculture and Agri-Food Canada,
,"Through a simple monthly update, agricultural producers can report on the impact of weather and climate conditions and events in their region. The volunteers provide valuable information about the current agricultural situation and emerging risks.",
Air quality in Quebec City,"Laboratoire citoyen, Fonds de Recherche du Québec (FRQ) - Programme ENGAGEMENT, Groupe de Chimie Atmosphérique de l'Université de Montréal, Drave Développement, Atelier créatif La Patente, CRE Capitale-Nationale",Quebec
,"In Quebec, there is an absence of air quality measurements based on sectors or proximity to sources. Do we want to know the impact of wood heating on smog in Quebec? Or the pollution generated by car traffic in a neighborhood? There are 8 measuring stations installed in the Quebec City agglomeration for a population of 800,000 inhabitants. Thus, sensors in a high-density network would be useful to better understand the spatial distribution of air pollution and its impact in various local communities.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
BC Parks iNaturalist Project,"Brian Starzomski at the University of Victoria, John Reynolds at Simon Fraser University, BC Parks, BC Parks Foundation. Sponsored by BC Parks, Sitka Foundation, and the Pacific Wildlife Foundation.",British Columbia
,"Help document and celebrate the biodiversity of BC Parks! When you visit BC's provincial parks and protected areas, collect photographic observation of plants, animals, other organisms and natural features, and upload them to the iNaturalist website or app. These observations help researchers develop a deeper understanding of what parks are protecting and can inform management decisions to sustain these protected areas for generations to come.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
BC's Big Nature Challenge,"BC Parks Foundation, eBird, Birds Canada, and the BC Cetacean Sightings Network. Supported by BC Parks, the Starzomski Lab at the University of Victoria, and Dr. John Reynolds at SFU. Sponsored by YVR and Teck.",British Columbia
,"Join thousands of other proud British Columbians in B.C.'s Big Nature Challenge, presented by the BC Parks Foundation. The Challenge continues, as we work towards 2 million observations while also reaching 15,000 species and advancing our knowledge on the many rare and threatened species we share this province with. Anyone can help crowd-source one million observations of wildlife in our beautiful province, while also getting the health benefits of spending time in nature.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
Beetle Watch,Douglas College,British Columbia
,"Help Douglas College track the spread of a newly introduced beetle species across British Columbia. No experience necessary, scientists of all ages and abilities are welcome! Email iue@douglascollege.ca for more information.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
Beluga Bits,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Assiniboine Park Zoo,
,"View underwater photos of beluga whales and help Assiniboine Park Zoo's Beluga Bits project investigate their social structure, natural history, and health!",
,"The Beluga Bits project is using underwater photos to study the beluga which spend their summers in the Churchill River estuary in Northern Manitoba, Canada. Check out the Beluga Bits project on Zooniverse.org to see underwater photos of beluga, answer questions, and help us learn more about these amazing whales!",
